stationID
800
802
804
806
808
810
2810
812
1812
814
818
820
822
826
2826
830
1830
834
836
838
840
842
844
850
898
896
894
892
890
888
1888
886
880
878
875
872
1872
868
2868
864
862
860
858
856
854
846
852
